timestamp,x,y,event_type,speed,acceleration
1747104101698,2473,1550,move,1.43,0.18
1747104101706,2478,1552,move,0.67,0.08
1747104101712,2479,1553,move,0.24,0.04
1747104101720,2479,1555,move,0.27,0.04
1747104101728,2479,1556,move,0.12,0.01
1747104101736,2477,1560,move,0.56,0.07
1747104101743,2472,1565,move,1.17,0.19
1747104101750,2468,1569,move,0.71,0.09
1747104101759,2461,1575,move,1.15,0.14
1747104101766,2456,1578,move,0.73,0.09
1747104101772,2454,1579,move,0.37,0.06
1747104101780,2453,1579,move,0.12,0.02
1747104101788,2453,1580,move,0.12,0.02
1747104101796,2451,1580,move,0.25,0.03
1747104101825,2451,1580,move,0.0,0.0
1747104101832,2452,1576,move,0.64,0.1
1747104101840,2452,1568,move,0.97,0.12
1747104101848,2456,1554,move,1.76,0.21
1747104101856,2460,1537,move,2.18,0.27
1747104101862,2466,1518,move,3.5,0.61
1747104101870,2473,1501,move,2.21,0.27
1747104101878,2479,1485,move,2.19,0.28
1747104101886,2487,1470,move,2.07,0.25
1747104101893,2493,1458,move,2.2,0.36
1747104101900,2497,1449,move,1.25,0.16
1747104101908,2502,1442,move,1.06,0.13
1747104101915,2503,1438,move,0.68,0.11
1747104101922,2506,1435,move,0.54,0.07
1747104101930,2507,1434,move,0.17,0.02
1747104101938,2507,1433,move,0.13,0.02
1747104101960,2507,1432,move,0.05,0.0
1747104101968,2507,1432,move,0.0,0.0
1747104101974,2507,1433,move,0.16,0.03
1747104101982,2507,1437,move,0.5,0.06
1747104101990,2507,1445,move,1.08,0.15
1747104101998,2503,1459,move,1.7,0.2
1747104102004,2499,1476,move,3.21,0.59
1747104102012,2494,1497,move,2.52,0.29
1747104102020,2488,1522,move,3.23,0.41
1747104102028,2478,1549,move,3.59,0.45
1747104102034,2469,1578,move,5.05,0.84
1747104102042,2460,1602,move,3.2,0.4
1747104102050,2451,1624,move,2.97,0.37
1747104102058,2443,1641,move,2.61,0.36
1747104102064,2435,1653,move,2.13,0.31
1747104102072,2429,1660,move,1.15,0.14
1747104102080,2427,1663,move,0.45,0.06
1747104102088,2425,1664,move,0.28,0.03
1747104102094,2424,1664,move,0.17,0.03
1747104102110,2424,1664,move,0.0,0.0
1747104102118,2424,1664,move,0.0,0.0
1747104102124,2427,1660,move,0.97,0.19
1747104102132,2430,1652,move,0.98,0.11
1747104102140,2441,1637,move,2.48,0.33
1747104102148,2454,1617,move,2.78,0.32
1747104102154,2471,1591,move,5.55,0.99
1747104102162,2501,1552,move,6.39,0.83
1747104102170,2537,1502,move,7.06,0.81
1747104102178,2573,1457,move,7.54,0.99
1747104102184,2613,1407,move,11.12,1.93
1747104102192,2642,1372,move,5.29,0.62
1747104102200,2666,1343,move,5.01,0.67
1747104102208,2683,1325,move,2.92,0.35
1747104102214,2696,1310,move,3.31,0.55
1747104102222,2708,1300,move,1.95,0.24
1747104102230,2716,1293,move,1.5,0.21
1747104102238,2720,1290,move,0.56,0.06
1747104102244,2723,1289,move,0.61,0.12
1747104102268,2723,1287,move,0.08,0.0
1747104102282,2723,1288,move,0.07,0.01
1747104102290,2723,1292,move,0.51,0.07
1747104102298,2719,1300,move,1.1,0.13
1747104102304,2711,1317,move,3.13,0.52
1747104102312,2694,1343,move,3.88,0.49
1747104102320,2674,1371,move,4.71,0.65
1747104102328,2645,1406,move,5.21,0.6
1747104102334,2603,1448,move,9.94,1.66
1747104102342,2557,1487,move,7.53,0.94
1747104102350,2503,1524,move,8.16,1.02
1747104102358,2449,1558,move,8.88,1.24
1747104102364,2397,1584,move,8.56,1.26
1747104102372,2352,1599,move,5.93,0.74
1747104102381,2314,1610,move,4.9,0.61
1747104102388,2278,1615,move,4.58,0.58
1747104102394,2252,1617,move,4.35,0.73
1747104102402,2227,1614,move,3.14,0.39
1747104102410,2206,1607,move,2.77,0.35
1747104102418,2186,1596,move,2.85,0.36
1747104102424,2169,1585,move,3.98,0.78
1747104102432,2156,1573,move,2.16,0.26
1747104102440,2146,1563,move,1.78,0.23
1747104102448,2143,1554,move,1.08,0.12
1747104102454,2141,1548,move,1.05,0.18
1747104102462,2140,1542,move,0.79,0.1
1747104102470,2140,1536,move,0.74,0.09
1747104102478,2142,1531,move,0.68,0.09
1747104102484,2145,1527,move,0.8,0.13
1747104102492,2149,1522,move,0.8,0.1
1747104102500,2157,1515,move,1.33,0.17
1747104102508,2166,1507,move,1.51,0.19
1747104102514,2180,1501,move,2.54,0.42
1747104102522,2197,1495,move,2.25,0.28
1747104102530,2219,1488,move,2.89,0.36
1747104102538,2246,1481,move,3.49,0.44
1747104102544,2285,1474,move,6.62,1.11
1747104102552,2338,1461,move,6.84,0.86
1747104102560,2392,1448,move,6.85,0.85
1747104102568,2444,1439,move,6.65,0.84
1747104102574,2492,1430,move,8.38,1.44
1747104102582,2524,1423,move,4.01,0.49
1747104102590,2550,1421,move,3.26,0.41
1747104102598,2569,1421,move,2.37,0.3
1747104102604,2583,1422,move,2.34,0.39
